ifile	run	class	subcxi	event	indby	phoen	bmdv	bmbw	aclen	npeak	ltype	cent	a	b	c	alpha	beta	gamma	prorad	detdx	detdy	reslim	nref	nsref	niref	o1	o2	o3	o4	o5	o6	o7	o8	o9	sfile	istart	iend	cstart	cend	pstart	pend	rstart	rend	multi	multiid	/cheetah/frameNumber	/LCLS/machineTime
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	501	mosflm-comb-latt-nocell-retry-multi-refine	9489.393686	0.00e+00	1.00e-08	0.120982	210	orthorhombic	P	13.04887	22.69776	30.84669	90.03303	90.08098	90.33657	0.00561	0.006	-0.005	1.91	6558	0	39	+0.0524949	+0.0472222	-0.0297906	-0.0303982	+0.0316268	-0.0040988	+0.0072065	+0.0108025	+0.0297040	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	16981	541566	27228	541544	17481	27211	27777	541509	1	1	20354	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	503	none	9486.419235	0.00e+00	1.00e-08	0.120982	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	541566	543240	-1	-1	542027	543201	-1	-1	0	0	20356	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	505	none	9481.609802	0.00e+00	1.00e-08	0.120982	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	543240	545420	-1	-1	543701	545381	-1	-1	0	0	20358	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	500	none	9477.148009	0.00e+00	1.00e-08	0.120982	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	545420	547233	-1	-1	545881	547194	-1	-1	0	0	20353	1506768164	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	504	none	9479.792201	0.00e+00	1.00e-08	0.120982	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	547233	548494	-1	-1	547694	548455	-1	-1	0	0	20357	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	502	none	9481.480082	0.00e+00	1.00e-08	0.120982	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	548494	549708	-1	-1	548955	549669	-1	-1	0	0	20355	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	506	none	9477.088338	0.00e+00	1.00e-08	0.120982	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	549708	551475	-1	-1	550169	551436	-1	-1	0	0	20359	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	508	none	9481.578243	0.00e+00	1.00e-08	0.120982	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	551475	552919	-1	-1	551936	552880	-1	-1	0	0	20361	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	510	mosflm-comb-latt-nocell-retry-multi-refine	9481.160399	0.00e+00	1.00e-08	0.120982	92	orthorhombic	P	13.00517	22.62416	31.05500	90.12792	89.32567	90.49092	0.00309	-0.002	0.008	1.40	3671	0	13	+0.0098135	+0.0752328	+0.0125472	-0.0409424	+0.0081500	-0.0145305	-0.0114398	-0.0038733	+0.0298526	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	552919	845981	557739	845959	553419	557722	558288	845924	1	1	20364	1506768165	
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	0105	-1	01	507	dirax-comb-nolatt-nocell-retry-multi-refine	9481.584943	0.00e+00	1.00e-08	0.120982	77	orthorhombic	P	12.90226	22.59718	30.93107	90.69027	90.26241	90.15633	0.00461	-0.001	0.039	1.43	5302	0	4	-0.0548461	-0.0344951	+0.0425359	+0.0249117	-0.0364748	+0.0027660	+0.0138382	+0.0110301	+0.0270599	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	845981	1266072	850110	1266050	846481	850093	850658	1266015	1	1	20360	1506768165	
