run	subcxi	event	id	multi	a	b	c	alpha	beta	gamma	indby	phoen	bmdv	bmbw	npeak	prorad	detdx	detdy	reslim	nref	nsref	niref	o1	o2	o3	o4	o5	o6	o7	o8	o9	/LCLS/machineTime	/LCLS/machineTimeNanoSeconds	/LCLS/fiducial	/cheetah/frameNumber	row	col	chiprow	chipframe
105	1	137	010501137	1	13.326040	22.752781	30.534660	89.159058	89.338570	89.242317	dirax-comb-nolatt-nocell-retry-multi-refine	9482.674805	0.000000	0.000000	255	0.023160	-0.024000	-0.037000	1.740000	24413	0	83	-0.037964	-0.034275	0.054926	0.030610	-0.031543	0.000689	0.016821	0.017468	0.022019	1506768128	873138880	8937	19719	54	184	54	19719
105	1	232	010501232	1	13.050140	22.528950	31.549000	89.092056	89.378616	89.340202	mosflm-comb-latt-nocell-retry-multi-refine	9462.330078	0.000000	0.000000	219	0.017820	-0.020000	-0.031000	1.470000	18896	0	125	-0.061988	0.006717	0.044560	-0.012668	-0.040718	-0.012350	0.016553	-0.011961	0.024249	1506768128	24183568	10431	19928	55	24	55	19928
105	1	241	010501241	2	13.086690	22.621210	31.057699	89.036827	90.706917	89.860039	mosflm-comb-latt-nocell-retry-multi-refine	9469.966797	0.000000	0.000000	144	0.016850	0.001000	-0.063000	1.240000	19237	0	69	-0.054528	-0.053316	0.004901	-0.029626	0.031357	0.009684	-0.006306	0.002988	-0.031440	1506768128	99219000	10458	19937	55	33	55	19937
105	1	404	010501404	1	13.042440	22.684980	31.099440	89.163879	89.218742	89.580948	dirax-comb-nolatt-nocell-retry-multi-refine	9472.443359	0.000000	0.000000	223	0.012220	0.035000	-0.030000	1.510000	13207	0	82	-0.001712	-0.062251	-0.044743	-0.043583	0.004854	-0.004548	0.005232	0.018778	-0.025580	1506768128	216533568	11220	20191	55	287	55	20191
105	1	726	010501726	1	13.415010	21.767910	30.814409	89.005280	89.029930	89.764023	mosflm-comb-latt-nocell-retry-multi-refine	9475.592773	0.000000	0.000000	97	0.009100	0.044000	0.021000	1.150000	10466	0	68	0.038378	0.036651	0.052366	-0.021514	-0.024299	0.032524	0.023329	-0.022470	-0.002149	1506768128	343861824	14505	20736	57	103	57	20736
105	1	743	010501743	1	13.070090	22.533449	31.450190	89.019173	89.542213	90.352203	mosflm-comb-latt-nocell-retry-multi-refine	9479.852539	0.000000	0.000000	153	0.005630	-0.010000	0.028000	1.290000	6607	0	25	0.022853	0.072962	0.002967	-0.040036	0.013390	-0.013710	-0.009322	0.001415	0.030372	1506768128	685585792	14628	20777	57	144	57	20777
105	1	788	010501788	2	12.811810	22.906679	30.987930	89.228493	90.246063	90.538971	dirax-comb-nolatt-nocell-retry-multi-refine	9476.941406	0.000000	0.000000	261	0.025030	-0.042000	0.017000	1.390000	25397	0	187	0.016892	-0.050835	-0.056775	0.029807	-0.019189	0.025488	-0.022852	-0.020001	0.010924	1506768128	185787760	14808	20837	57	204	57	20837
105	1	799	010501799	1	13.014680	22.455570	31.159580	89.216988	90.235291	90.695251	mosflm-comb-latt-nocell-retry-multi-refine	9467.648438	0.000000	0.000000	211	0.015790	0.001000	0.021000	1.600000	18149	0	112	-0.019907	-0.065194	-0.035471	0.039381	-0.001363	-0.020762	0.011818	-0.017074	0.024474	1506768128	285814752	14844	20849	57	216	57	20849
105	1	822	010501822	1	13.041430	22.769390	30.779261	89.015343	90.278351	90.618668	dirax-comb-nolatt-nocell-retry-multi-refine	9476.053711	0.000000	0.000000	139	0.006680	-0.002000	0.002000	1.460000	7702	0	36	-0.050021	-0.047225	-0.033884	0.026309	-0.034284	0.007880	-0.015232	-0.004458	0.028355	1506768128	677577152	14985	20896	57	263	57	20896
105	1	916	010501916	1	13.127610	22.633030	30.519020	89.147537	89.991302	89.323540	mosflm-comb-latt-nocell-retry-multi-refine	9472.227539	0.000000	0.000000	91	0.004330	0.002000	-0.039000	1.490000	4772	0	14	-0.038619	-0.034477	0.055888	0.031159	-0.031300	0.001512	0.016178	0.017866	0.022202	1506768128	270089632	16278	21067	58	309	58	21067
105	1	938	010501938	1	13.008900	22.737080	30.686630	89.168053	90.066223	90.102119	mosflm-comb-latt-nocell-retry-multi-refine	9461.365234	0.000000	0.000000	107	0.006560	-0.031000	0.024000	1.470000	7555	0	18	-0.015079	0.074793	0.009365	-0.042143	-0.009459	0.008322	0.007298	-0.002456	0.031668	1506768128	486822080	16356	21093	58	283	58	21093
105	1	1099	0105011099	1	13.032020	22.833191	30.716480	89.137367	90.058060	90.322182	mosflm-comb-latt-nocell-retry-multi-refine	9467.485352	0.000000	0.000000	153	0.006990	-0.006000	-0.017000	1.780000	8177	0	24	-0.073669	0.013524	-0.016682	-0.010666	-0.040365	0.013248	-0.004699	0.011634	0.030045	1506768128	428972928	17055	21326	58	50	58	21326
105	1	1259	0105011259	2	13.044590	22.819981	30.465910	89.034752	90.838593	90.761520	mosflm-comb-latt-nocell-retry-multi-refine	9474.944336	0.000000	0.000000	272	0.022570	0.035000	-0.030000	1.940000	23037	0	180	0.015458	-0.072563	0.019359	-0.039612	-0.012722	-0.013792	0.012778	-0.005702	-0.029701	1506768128	13608738	18705	21628	59	251	59	21628
105	1	1266	0105011266	1	12.932790	22.589211	31.073919	89.211357	90.948830	89.745468	mosflm-comb-latt-nocell-retry-multi-refine	9471.927734	0.000000	0.000000	110	0.009150	0.012000	0.024000	1.480000	10497	0	48	0.022800	-0.071826	-0.017374	-0.041393	-0.014422	0.006224	-0.005986	0.005075	-0.031218	1506768128	96998536	18735	21638	59	261	59	21638
105	1	1266	0105011266	2	12.951660	22.180780	31.647240	89.059448	90.790482	89.145920	mosflm-comb-latt-nocell-retry-multi-refine	9471.927734	0.000000	0.000000	110	0.007970	-0.023000	0.013000	1.900000	9178	0	57	0.060327	-0.028347	0.039000	0.003049	-0.033291	-0.030266	0.019872	0.017870	-0.016872	1506768128	96998536	18735	21638	59	261	59	21638
