ifile	run	class	subcxi	event	indby	phoen	bmdv	bmbw	aclen	npeak	ltype	cent	a	b	c	alpha	beta	gamma	prorad	detdx	detdy	reslim	nref	nsref	niref	o1	o2	o3	o4	o5	o6	o7	o8	o9	sfile	istart	iend	cstart	cend	pstart	pend	rstart	rend	multi	/cheetah/frameNumber	/LCLS/machineTime
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	521	mosflm-comb-latt-nocell-retry-multi-refine	9476.816406	0.000000	0.000000	0	123	orthorhombic	P	12.984680	22.670990	30.759060	89.964989	89.903671	90.227592	0.004660	-0.003000	-0.006000	2.040000	5234	0	28	0.037274	0.042262	-0.052496	-0.031905	0.030418	0.001578	0.015908	0.015422	0.023792	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	3001393	-1	3007640	3418343	3001894	3007623	3008190	3418308	1	20377	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	523	mosflm-comb-latt-nocell-retry-multi-refine	9478.744141	0.000000	0.000000	0	178	orthorhombic	P	13.008050	22.661819	30.797150	90.197739	90.006683	90.306938	0.007300	0.006000	-0.012000	2.140000	7414	0	60	0.025541	0.026307	-0.067569	0.037233	-0.023199	0.004773	-0.013706	-0.025305	-0.015038	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	3418365	-1	3427141	4008843	3418866	3427124	3427690	4008808	1	20380	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	522	mosflm-comb-latt-nocell-retry-multi-refine	9476.306641	0.000000	0.000000	0	203	orthorhombic	P	12.954570	22.611010	30.786980	90.130157	89.744263	89.963509	0.006210	0.004000	0.001000	2.200000	6644	0	28	0.010848	0.044760	-0.061949	-0.035345	0.024086	0.011249	0.018907	0.019628	0.017673	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	4008865	-1	4018791	4539938	4009366	4018774	4019339	4539903	1	20378	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	536	mosflm-comb-latt-nocell-retry-multi-refine	9479.861328	0.000000	0.000000	0	148	orthorhombic	P	13.249720	22.600510	30.883751	90.441902	89.327797	90.763077	0.012090	0.001000	0.007000	2.190000	14299	0	101	-0.038121	-0.034338	0.055369	-0.023276	-0.023214	-0.029624	0.022382	-0.023400	0.000384	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	8048659	-1	8056055	9176951	8049160	8056038	8056605	9176916	1	20407	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	539	mosflm-comb-latt-nocell-retry-multi-refine	9479.186523	0.000000	0.000000	0	187	orthorhombic	P	13.033520	22.639811	30.802820	89.831329	90.090828	89.966232	0.005700	-0.007000	-0.006000	2.000000	6563	0	44	0.003748	0.076623	-0.001313	0.037005	-0.001424	0.024075	0.017576	-0.001275	-0.027266	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	9176973	-1	9186163	9700900	9177474	9186146	9186713	9700865	1	20413	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	541	mosflm-comb-latt-nocell-retry-multi-refine	9478.879883	0.000000	0.000000	0	255	orthorhombic	P	13.014630	22.596821	30.826429	89.879860	90.024849	90.399323	0.005570	0.011000	0.008000	2.260000	5947	0	45	-0.022093	-0.036118	-0.064122	0.035322	0.015829	-0.021455	0.017017	-0.026160	0.008856	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	9705515	-1	9717833	10184410	9706016	9717816	9718381	10184375	1	20415	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	550	mosflm-comb-latt-nocell-retry-multi-refine	9475.830078	0.000000	0.000000	0	242	orthorhombic	P	13.008200	22.672911	30.812540	90.097672	90.189301	90.012138	0.002890	-0.007000	-0.010000	2.340000	3281	0	21	-0.047180	0.012354	-0.059423	0.033966	-0.004108	-0.027834	-0.005651	-0.031877	-0.002279	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	11325993	-1	11337713	11595404	11326494	11337696	11338263	11595369	1	20426	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	548	mosflm-comb-latt-nocell-retry-multi-refine	9478.353516	0.000000	0.000000	0	131	orthorhombic	P	13.014860	22.516979	30.974710	90.151878	90.343651	89.663383	0.007660	0.015000	-0.004000	2.110000	8289	0	41	-0.014996	0.043052	-0.061852	-0.036556	0.015447	0.019938	0.017051	0.024358	0.012580	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	12050389	-1	12057003	12707142	12050890	12056986	12057552	12707107	1	20422	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	543	mosflm-comb-latt-nocell-retry-multi-refine	9477.046875	0.000000	0.000000	0	297	orthorhombic	P	13.059830	22.699949	30.867460	90.252930	89.956039	90.011307	0.019240	-0.009000	0.019000	2.340000	19600	0	103	-0.000632	0.066421	0.038091	-0.009895	0.021292	-0.037275	-0.031599	-0.003799	0.006050	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	13864474	-1	13878724	15414968	13864975	13878707	13879275	15414933	1	20417	1506768128
/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/data/hdf5/r0105-psII_atten131_final2/mfxlq4815-r0105-c01.cxi	105	-1	1	543	mosflm-comb-latt-nocell-retry-multi-refine	9477.046875	0.000000	0.000000	0	297	orthorhombic	P	13.089490	22.625500	30.822670	90.360069	89.733299	90.164711	0.008970	0.027000	-0.032000	2.130000	7936	0	57	0.038711	0.030197	0.058535	-0.036153	0.022021	0.012713	-0.008939	-0.025019	0.018622	/bioxfel/data/2017/LCLS-2017-Sep-Fromme-LQ48/analysis/natasha/indexing/run/r0105-psII/r0105.stream01	13864474	-1	15414968	16037699	13864975	13878707	15415517	16037664	2	20417	1506768128
